SDD 	Dozaga bog‘liq ta’sirchanlik	Восприимчивый - зависит от дозы	Susceptible-dose dependent	Категория, включающая изоляты с минимальными ингибирующими концентрациями (МИК) антимикробных агентов, которые приближаются к обычно достижимым уровням в крови и тканях и для которых показатели ответа могут быть ниже, чем для восприимчивых изолятов.
SYN-S 	Sinergiyaga - ta’sirchan	Синергия - восприимчивый	Synergy - susceptible	Категория для изолятов, где бактерии (например, энтерококки) восприимчивы in vitro к комбинированной терапии (например, аминогликозид высокого уровня и активный агент клеточной стенки). Это прогнозирует, что эта комбинированная терапия будет эффективной.
EX 	Chegara qiymatidan tashqarida	Внешний порог	Outside threshold	"Результат наблюдения/теста интерпретируется как выходящий за пределы диапазона включения для конкретного протокола, в рамках которого сообщается результат.
Пример: Положительный результат теста на гепатит."
HX 	Yuqori chegaradan oshgan	Выше верхнего порога	Above high threshold	"Результат наблюдения/теста интерпретируется как выходящий за пределы диапазона включения для конкретного протокола, в рамках которого сообщается результат.
Пример: Положительный результат теста на гепатит."
LX 	Pastki chegaradan pastda	Ниже нижнего порога	Below low threshold	"Числовой результат наблюдения/теста интерпретируется как находящийся ниже нижнего порогового значения для конкретного протокола, в рамках которого сообщается результат.
Пример: общее количество лейкоцитов в крови ниже порогового значения, определенного протоколом и составляющего 3000/мм^3."
IND 	Aniqlanmagan	Неопределенный	Indeterminate	Указанный компонент/аналит, организм или клинический признак не могут быть признаны положительными/отрицательными или обнаружены/не обнаружены в результате проведенного теста или процедуры.
E 	Ikkilanma manoda	Двусмысленный	Equivocal	Тест или процедура были успешно выполнены, но результаты являются пограничными и не могут быть признаны ни положительными/отрицательными, ни обнаруженными/не обнаруженными в соответствии с действующими установленными критериями.
NEG 	Manfiy	Отрицательно	Negative	Обнаружение отсутствия указанного компонента/аналита, организма или клинического признака на основании установленного порогового значения проведенного теста или процедуры.
ND 	Aniqlanmadi	Не обнаружено	Not detected	Наличие указанного компонента/аналита, организма или клинического признака не может быть определено в пределах обнаружения проведенного теста или процедуры.
POS 	Ijobiy	Положительный	Positive	Обнаружение присутствия указанного компонента/аналита, организма или клинического признака на основе установленного порога выполненного теста или процедуры.
DET 	Aniqlandi	Обнаружено	Detected	Измерение указанного компонента/аналита, организма или клинического признака выше предела обнаружения выполненного теста или процедуры.
EXP 	Kutilgan	Ожидаемый	Expected	Этот результат был оценен в свете известных противопоказаний. После того, как эти противопоказания были приняты во внимание, результат определяется как «Ожидаемый» (например, наличие лекарств у пациента, который принимает рецептурные препараты для снятия боли).
UNE 	Kutilmagan	Непредвиденный	Unexpected	Этот результат был оценен в свете известных противопоказаний. После того, как эти противопоказания были приняты во внимание, результат определяется как «Неожиданный» (например, наличие непрописанных лекарств у пациента, который принимает рецептурные препараты для лечения боли).
NR 	Reaktiv bo‘lmagan	Нереактивный	Non-reactive	Отсутствие результата указывает на то, что указанный компонент/аналит не прореагировал в заметной степени с реагентом.
RR 	Reaksiyali	Реактивный 	Reactive	Обнаружение присутствия, используемое для указания того, что указанный компонент/аналит прореагировал с реагентом выше надежно измеримого предела проведенного теста.
WR 	Kuchsiz reaksiyali	Слабо реактивный 	Weakly reactive	Взвешенный результат присутствия, используемый для указания того, что указанный компонент/аналит прореагировал с реагентом, но ниже надежно измеримого предела проведенного теста.
