Code	UZ	RU (SNOMED CT)	EN
  258109007 		Полиморфизм длины рестрикционного фрагмента	Restriction fragment length polymorphism
  258110002 		Солевой метод	Saline method
  258112005 		Олигонуклеотидный зонд, специфичный для последовательности	Sequence specific oligonucleotide probe
  258113000 		Праймеры, специфичные для последовательности - полимеразная цепная реакция	Sequence specific primers-polymerase chain reaction
  258114006 		SRH - Одиночный радиальный гемолиз	SRH - Single radial hemolysis
  258118009 		Измерение всасывания и дренажа	Suction drainage measurement
  258120007 		Понижение давления пара	Vapor pressure depression
  258121006 		Равновесие без ограничений	Ungated equilibrium
  258122004 		Анализ метиловых эфиров длинноцепочечных жирных кислот во всей клетке	Whole cell long chain fatty acid methyl ester analysis
  258123009 		Методика ЭКГ-синхронизации	ECG gated technique
  258124003 		Равновесие с затвором	Gated equilibrium
  258125002 		Понижение точки замерзания	Freezing point depression
  258126001 		Фазовый контраст	Phase contrast
  258128000 		Техника рук Шегрена	Sjogren hand technique
  258129008 		Метод Снеллена	Snellen technique
  258131004 		Разделение в градиенте плотности сахарозы	Sucrose density gradient separation
  258133001 		Анализ пластины	Plate assay
  258144009 		Изменение позиции	Position change
  258150004 		Передача инфекции	Transmission
  258159003 		Типирование производства слизи	Slime production typing
  258164004 		Метод Сельдингера	Seldinger technique
  258169009 		Метод реконструированного мешка (квалифицирующее значение)	Remodeled pouch method (qualifier value)
  258171009 		Слепая техника	Blind technique
  258173007 		Техника прямого видения	Direct vision technique
  258178003 		Методика аспирации крови	Blood aspiration technique
  258179006 		Техника обратного отсчета крови	Blood flashback technique
  258180009 		Анализ формы волны давления	Pressure waveform analysis
  258181008 		Анализ ЭКГ	ECG analysis
  258182001 		Холодное просвечивание светом	Cold light transillumination
  258183006 		Инъекция газа и аускультация	Gas injection and auscultation
  260223001 		Техника максимального интеркуспидации	Maximum intercuspation technique
  260227000 		Твердофазный иммунный метод	Solid phase immune technique
  260231006 		Техника Ван Слайка	Van Slyke technique
  260710009 		Техника обтурации	Obturation technique
  260931002 		Постобработка	Post-processing
  260982004 		Техника антиискривления	Anticurvature technique
  261006005 		Цифровой рентген	Digital X-ray
  261009003 		Метод двойного отверждения	Dual cure method
  261018001 		Механический	Mechanical
  261032004 		Оборот	Turnover
  261033009 		Ультразвуковая эндодонтическая техника	Ultrasonic endodontic technique
  261039008 		Маневр Вальсальвы	Valsalva maneuvre
  261069001 		Техника двойного контраста	Double contrast technique
  261070000 		Техника двойной вспышки	Double flare technique
  261190007 		Метод Дотри	Dautrey method
  261192004 		Техника сбалансированной силы	Balanced force technique
  261194003 		Киноисследование	Cine study
  261196001 		Техника прямого нанесения	Direct application technique
  261208004 		Периодическое введение	Intermittent administration
  261209007 		Техника совместного использования сосков	Nipple sharing technique
  261212005 		Чрескожный с автоматизированным инструментарием	Percutaneous with automated instrumentation
  261213000 		Чрескожный с эндоскопическим инструментарием	Percutaneous with endoscopic instrumentation
  261214006 		Чрескожная лазерная аппаратура	Percutaneous with laser instrumentation
  261215007 		Чрескожный с ручным инструментом	Percutaneous with manual instrumentation
  261216008 		Радионуклидная плетизмография	Radionuclide plethysmography
  261271009 		Термопластиковая техника	Thermal plastic technique
  261272002 		Термическая техника твердого тела	Thermal solid technique
  261338007 		Техника адгезии с дополнительным швом	Adhesive with supplementary suture technique
  261373009 		Техника имплантации	Implant technique
  261504003 		Техника закрытой диссекции прямой кишки	Close rectal dissection technique
  261510003 		Традиционная ангиография	Conventional angiography
  261548008 		Периартикулярная остеотомия	Periarticular osteotomy
  261561008 		Техника полки	Shelf technique
  261567007 		Метод термической инъекции	Thermal injection technique
  261573008 		Стимуляция тиреотропин-рилизинг-гормона	Thyrotrophin releasing hormone stimulation
  261671000 		Техника воздушного контраста	Air contrast technique
  261699009 		Перед фильтром	Before the filter
  261700005 		техника Бенчекроун	Benchekroun technique
  261708003 		Фиксация компонентов биохимической связи	Biochemical bond component fixation
  261710001 		Техника деления угла пополам	Bisecting angle technique
  261714005 		Система врастания костей	Bone ingrowth system
  261732005 		Стимуляция кортиколиберина	Corticotrophin releasing hormone stimulation
  261754007 		Непрерывная инфузия	Continuous infusion
  261787006 		Техника эксплантации	Explant technique
  261790000 		Техника сверхвысокого разрешения	Extra-high resolution technique
  261793003 		Техника направленного потока	Flow-directed technique
  261856001 		Техника Айзекса	Isaacs technique
  261909000 		Метод светоотверждения	Light cure method
  261940007 		Метод механического захвата	Mechanical grab method
  261943009 		Методика Митрофанова	Mitrofanoff technique
  261947005 		Модифицированная техника двойной вспышки	Modified double flare technique
  261958001 		Многоплоскостная реконструкция	Multiplanar reconstruction
  261981004 		Нейтральная зона	Neutral zone
  262041006 		Техника параллельного проведения	Paralleling technique
  262048000 		Метод циклирования пациента	Patient cycled method
  262062007 		Выходная мощность	Power output
  262063002 		Метод с питанием	Powered method
  262064008 		Гибкий метод с электроприводом	Powered flexible method
  262065009 		Метод с жестким приводом	Powered rigid method
  262069003 		Метод контроля давления	Pressure controlled method
  262092003 		Взаимно-механическая техника	Reciprocal mechanical technique
  262095001 		Оставаясь на связи	Remaining connected
  262110008 		Ротационная механическая эндодонтическая техника	Rotary mechanical endodontic technique
  262136001 		Метод самоизлечения	Self-cure method
  262148003 		Метод одиночного контрастирования	Single contrast technique
  262162005 		Звуковая эндодонтическая техника	Sonic endodontic technique
  262174009 		Стандартизированная техника	Standardized technique
  262180001 		Техника шага назад	Stepback technique
  262181002 		Техника спуска	Stepdown technique
  262201007 		Метод поглощения таллия	Thallium uptake method
  262207006 		Метод временного цикла	Time cycled method
  262265000 		Метод контроля громкости	Volume controlled method
  262278000 		Техника согревания внутривенной жидкости	Warming intravenous fluid technique
  262293001 		Методика с использованием проволоки	Wire guided technique
  262295008 		С измерением зазора	With clearance measurement
  262296009 		Техника перекрестной компрессии	Cross-compression technique
  262300005 		С СКФ	With GFR
  262305000 		С разделением	With separation
  262310001 		С анализом перистальтики мочеточника	With ureteric peristalsis analysis
  262313004 		Без перемонтажа	Without remount
  262320006 		Метод очистки ксенона	Xenon clearance method
  262323008 		После фильтра	After the filter
  263664004 		Измененная техника литья	Altered cast technique
  263696007 		Разбавление бульона	Broth dilution
  263725008 		Метод постоянного ускорения	Constant acceleration technique
  263746004 		Метод электрочувствительности	Electrosensitivity technique
  263781002 		Импульс	Impulse
  263809005 		Микрососудистый	Microvascular
  263902000 		Транскутанная методика	Transcutaneous method
  264220008 		Превосходная техника педикулеза	Superior pedicle technique
  264268002 		Агарозная техника	Agarose technique
  264269005 		Анализ паттерна аминокислотной сигнатуры	Amino acid signature pattern analysis
  264270006 		Техника центральной ножки	Central pedicle technique
  264271005 		Анализ связывания компонента комплемента 1q	Complement component 1q binding assay
  264272003 		Метод проводимости	Conductivity technique
  264273008 		Техника непрерывного отхода	Continuous withdrawal technique
  264275001 		Иммуноферментный анализ с поляризацией флуоресценции	Fluorescence polarization immunoassay
  264276000 		Метод полушахматной доски	Half chessboard method
  264277009 		Отскок пятки	Heel bounce
  264279007 		Метод гидроксиламина	Hydroxylamine method
  264280005 		Техника нижней ножки	Inferior pedicle technique
  264281009 		техника Дюфурменталя	Dufourmental technique
  264283007 		Техника многократного дыхания	Multiple-breath technique
  264284001 		Техника одинарного дыхания	Single-breath technique
  264355007 		Техника Ffooks	Ffooks technique
  264582003 		Типирование антибиотикограммы	Antibiogram typing
  264583008 		Ауксотипирование	Auxotyping
  264584002 		Типирование бактериоцина	Bacteriocin typing
  264590003 		Стимуляция гипоталамуса	Hypothalamic stimulation
  264619009 		Техника 100 оттенков	100 hue technique
  264773007 		Диенес печатает	Dienes typing
  264788002 		Биотипирование	Biotyping
  264828007 		Технологический университет города	City University technique
  264859009 		Техника Маклюра	Maclure technique
  264863002 		Морфотипирование	Morphotyping
  264896000 		Анализ нуклеиновых кислот	Nucleic acid analysis
  264903000 		Методика стимуляции паттерна «начало/смещение»	Pattern onset/offset stimulation technique
  264934001 		Типирование токсинов	Toxin typing
  264935000 		Метод транслюминального протезирования	Transluminal prosthetic method
  264946002 		Маскировка белого шума противоположного уха	White noise masking of opposite ear
  272389005 		Анализ	Analysis
  272390001 		Разбавление	Dilution
  272391002 		Измерение	Measurement
  272392009 		Анализ	Assay
  272393004 		Тесты	Tests
  272395006 		Типы	Typings
  276857005 		Грудной импеданс	Thoracic impedance
  277337007 		Методика поверхностных ориентиров	Surface landmark technique
  277581000 		Методы наложения швов	Suturing techniques
  277620007 		Стоматологические методы	Dental techniques
  277768009 		Автоматизированная эндодонтическая техника	Automated endodontic technique
  277769001 		Техника рук	Hand technique
  277835006 		Техника откидного клапана	Flap valve technique
  277853000 		Подслизистая туннельная техника	Submucosal tunnel technique
  277913002 		Промывание тампонов	Washing of swabs
  278283001 		Чрескожные методы	Percutaneous techniques
  278289002 		Метод микроскопии (квалифицирующее значение)	Microscopy technique (qualifier value)
  278300004 		Техника протягивания	Pull-through technique
  278394000 		Методика замещения жидкости	Fluid replacement technique
  278395004 		Техника визуализации	Imaging technique
  278440009 		Техника копирования зубных протезов	Copy denture technique
  281408006 		Запуск потока	Flow triggering
  281409003 		Срабатывание давления	Pressure triggering
  281410008 		Дифференциальная вентиляция легких	Differential lung ventilation
  281417006 		Однолегочная вентиляция	One lung ventilation
  281418001 		Вентиляция левого легкого	Left lung ventilation
  281419009 		Вентиляция правого легкого	Right lung ventilation
  281420003 		Двусторонняя вентиляция легких	Bilateral lung ventilation
  284466007 		Техника управления гневом	Anger management technique
  284467003 		Техника релаксации	Relaxation technique
  286811001 		Метод циклирования с ограничением давления	Pressure limited cycling method
  302554003 		Метод контрастной визуализации	Contrast imaging technique
  304033004 		Специфическая техника стимуляции	Specific stimulation technique
  304364007 		Фиксация компонента протезного сустава	Fixation of prosthetic joint component
  304367000 		Бесцементная фиксация компонентов	Uncemented component fixation
  309796000 		Техника потери сопротивления	Loss of resistance technique
  309797009 		Потеря сопротивления воздуху	Loss of resistance to air
  309798004 		Потеря устойчивости к солевому раствору	Loss of resistance to saline
  312245009 		Методика ангиографии	Angiography technique
  312246005 		Цифровая субтракционная ангиография	Digital subtraction angiography
  312348008 		Постобработка изображения	Image post-processing
  313115005 		Техника переноса лоскута	Flap transfer technique
  313116006 		Техника продвижения	Advancement technique
  313201001 		Простая техника наложения швов	Simple suture technique
  313202008 		Техника Z-пластики	Z-plasty technique
  313281003 		Скольжение вперед	Forward sliding
  359838000 		Нефелометрия	Nephelometry
  362943005 		Ручной метод	Manual method
  371871002 		Отдельные удары - метод числовой оценки (квалифицирующее значение)	Single beats - numeric estimation technique (qualifier value)
  371912002 		Оптимальное значение – метод числовой оценки (квалифицирующее значение)	Best value - numeric estimation technique (qualifier value)
  371913007 		Точечный источник - метод числовой оценки (значение квалификатора)	Point source - numeric estimation technique (qualifier value)
  371914001 		Пик-пик - метод числовой оценки (значение квалификатора)	Peak to peak - numeric estimation technique (qualifier value)
  371916004 		Представитель - числовой метод оценки (значение квалификатора)	Representative - numeric estimation technique (qualifier value)
  373098007 		Методика численной оценки среднего значения (квалифицирующее значение)	Mean - numeric estimation technique (qualifier value)
  373099004 		Медиана - метод числовой оценки (значение квалификатора)	Median - numeric estimation technique (qualifier value)
  373100007 		Режим - метод числовой оценки (значение квалификатора)	Mode - numeric estimation technique (qualifier value)
  373115008 		Рутина - методика числовой оценки (квалифицирующее значение)	Routine - numeric estimation technique (qualifier value)
  397801003 		Одиночный болюс	Single bolus
  397850009 		Метод внутрисосудистого подтверждения (квалифицирующее значение)	Intravascular confirmation method (qualifier value)
  397884008 		Прерывистый болюс	Intermittent bolus
  397916001 		Техника потери сопротивления - другая жидкость (квалифицирующее значение)	Loss of resistance technique - other fluid (qualifier value)
  398037009 		Метод определения местоположения судна (значение квалификатора)	Vessel location technique (qualifier value)
  398129004 		Метод потери сопротивления - как физиологический раствор, так и воздух (квалифицирующее значение)	Loss of resistance technique - both saline and air (qualifier value)
  398317000 		Методика использования иглы-искателя (квалифицирующее значение)	Finder needle technique (qualifier value)
  404655007 		Автофлуоресценция	Autofluorescence
  414378002 		Техника «висячей капли» (квалифицирующее значение)	Hanging drop technique (qualifier value)
  414456005 		Метод визуализации (значение квалификатора)	Imaging guidance technique (qualifier value)
  414611008 		Техника размещения линий (квалифицирующее значение)	Line placement technique (qualifier value)
  415037003 		Техника парестезии (квалифицирующее значение)	Paresthesia technique (qualifier value)
  415741008 		Трансартериальная методика (квалифицирующее значение)	Transarterial technique (qualifier value)
  416238005 		Методика интубации (квалифицирующее значение)	Intubation technique (qualifier value)
  416423007 		Техника интубации трахеи (квалифицирующее значение)	Tracheal intubation technique (qualifier value)
  417453009 		Техника бронхиальной интубации (квалифицирующее значение)	Bronchial intubation technique (qualifier value)
  418449005 		Мягко (значение квалификатора)	Gently (qualifier value)
  418694008 		Быстро (значение квалификатора)	Rapidly (qualifier value)
  419125005 		Щедро (значение квалификатора)	Liberally (qualifier value)
  419443000 		Медленно (значение квалификатора)	Slowly (qualifier value)
  419913006 		Энергично (квалифицирующее значение)	Vigorously (qualifier value)
  420004004 		Проглочен целиком (уточняющее значение)	Swallowed whole (qualifier value)
  424457002 		Метод интратекального подтверждения	Intrathecal confirmation technique
  445911007 		Экстракорпоральная техника (квалифицирующее значение)	Extracorporeal technique (qualifier value)
  446402005 		Методика гемодиализа (квалифицирующее значение)	Hemodialysis technique (qualifier value)
  446406008 		Техника ингаляции (квалифицирующее значение)	Inhalation technique (qualifier value)
  446947001 		Метод электроосмоса (квалифицирующее значение)	Electroosmosis technique (qualifier value)
  447027002 		Техника орошения (квалифицирующее значение)	Irrigation technique (qualifier value)
  447056002 		Техника окклюзионной повязки (квалифицирующее значение)	Occlusive dressing technique (qualifier value)
  447120003 		Техника инъекции (квалифицирующее значение)	Injection technique (qualifier value)
  447692002 		Методика чрескожной гастростомии (кнопочной) (квалифицирующее значение)	Percutaneous gastrostomy (button) technique (qualifier value)
  447693007 		Методика перитонеального диализа (квалифицирующее значение)	Peritoneal dialysis technique (qualifier value)
  447826007 		Методика инфузии (квалифицирующее значение)	Infusion technique (qualifier value)
  447963004 		Методика внутривенного нагнетания (квалифицирующее значение)	Intravenous push technique (qualifier value)
  448076005 		Методика ионофореза (квалифицирующее значение)	Iontophoresis technique (qualifier value)
  449137004 		Внутривенная техника пиггибэк (квалифицирующее значение)	Intravenous piggyback technique (qualifier value)
  449225005 		Методика гемодиафильтрации (квалифицирующее значение)	Hemodiafiltration technique (qualifier value)
  702658000 		Микробная культура	Microbial culture
  702659008 		Автоматический подсчет	Automated count
  702660003 		Тест-полоска	Test strip
  702661004 		Световая микроскопия	Light microscopy
  702662006 		Микроскопия с сильным полевым светом	High power field light microscopy
  702663001 		Ручной подсчет	Manual count
  702664007 		Иммунологический метод (квалифицирующее значение)	Immunological method (qualifier value)
  702665008 		Цитологическое окрашивание	Cytology stain
  702666009 		Цитология	Cytology
  702667000 		Формула расчета клиренса (значение квалификатора)	Clearance calculation formula (qualifier value)
  702668005 		Формула модификации диеты при почечной недостаточности	Modification of diet in renal disease formula
  702669002 		Прямой анализ	Direct assay
  702673004 		Зонд дезоксирибонуклеиновой кислоты	Deoxyribonucleic acid probe
  702674005 		Зонд гибридизации нуклеиновых кислот	Nucleic acid hybridization probe
  702675006 		Зонд с целевым усилением	Probe with target amplification
  702872006 		Предел обнаружения равен или меньше 20 мг/л	Detection limit equal to or less than 20 mg/L
  702873001 		Методика расчета (значение квалификатора)	Calculation technique (qualifier value)
  702940009 		Фильтрация	Filtration
  702941008 		Заливка парафином	Paraffin embedding
  702942001 		Концентрация (квалифицирующее значение)	Concentration (qualifier value)
  702943006 		Извлечение ДНК	DNA extraction
  702944000 		Извлечение РНК	RNA extraction
  702945004 		Оценивается по гликированному гемоглобину	Estimated from glycated hemoglobin
  702946003 		Методика коагуляции	Coagulation technique
  702947007 		С поправкой на ядросодержащие эритроциты	Corrected for nucleated erythrocytes
  703436002 		Предел обнаружения равен или меньше 0,005 мМЕ/л	Detection limit equal to or less than 0.005 mIU/L
  703437006 		Предел обнаружения равен или меньше 0,01 нг/мл	Detection limit equal to or less than 0.01 ng/mL
  703438001 		Предел обнаружения равен или меньше 0,05 мМЕ/л	Detection limit equal to or less than 0.05 mIU/L
  703439009 		Предел обнаружения равен или меньше 1,0 нг/дл	Detection limit equal to or less than 1.0 ng/dL
  703440006 		Предел обнаружения равен или меньше 3,47 пмоль/л	Detection limit equal to or less than 3.47 pmol/L
  703441005 		Метод окраски по Райту	Wright stain method
  703442003 		Тест восприимчивости с помощью градиентной полоски	Gradient strip susceptibility test
  703443008 		Метод окрашивания грибка	Fungus stain method
  703444002 		Иммуноферментный анализ флуоресценции	Fluorescent immunoassay
  703445001 		Измерение ионселективным электродом	Ion selective electrode measurement
  703446000 		Иммуноблот-анализ	Immunoblot assay
  703447009 		Методика ИФА	EIA technique
  703448004 		Реакция латексной агглютинации	Latex agglutination test
  703449007 		Радиоиммуноанализ	Radioimmunoassay
  703450007 		Электрофорез	Electrophoresis
  703451006 		Микроскопия с низким полем света	Low power field light microscopy
  703452004 		Метод электрического импеданса	Electrical impedance technique
  703454003 		Метод центрифугирования (квалифицирующее значение)	Centrifugation technique (qualifier value)
  703455002 		Метод быстрого плазменного реагина	Rapid Plasma Reagin technique
  703456001 		Методика лабораторного исследования венерических заболеваний	Venereal Disease Research Laboratory technique
  703457005 		Метод влажной подготовки	Wet preparation technique
  703458000 		Метод нейтрализации	Neutralization method
  703459008 		Техника Вестергрена	Westergren technique
  703460003 		Техника Винтроуба	Wintrobe technique
  703461004 		Метод концентрации паразитов	Concentration of parasites method
  703462006 		Формула Кокрофта-Голта (квалифицирующее значение)	Cockcroft-Gault formula (qualifier value)
  703463001 		Рассчитано на основе парциального давления кислорода	Calculated from oxygen partial pressure
  703488009 		Коагуляция с использованием смеси солевого раствора 1:1 (квалифицирующее значение)	Coagulation 1:1 saline mixture technique (qualifier value)
  703490005 		Транскутанное измерение CO2	Transcutaneous CO2 monitor
  703492002 		Транскутанное измерение O2	Transcutaneous O2 monitor
  703497008 		Рассчитывается по отношению сигнала к уровню отсечки	Calculated from signal to cutoff ratio
  703501003 		Метод токсикологического скрининга (квалифицирующее значение)	Toxicology screening technique (qualifier value)
  703505007 		Расчет зазора относительно площади поверхности тела 1,73 кв. м (квалифицирующее значение)	Clearance calculation relative to 1.73 square meters body surface area (qualifier value)
  703506008 		Расчет клиренса относительно площади поверхности тела 1,73 квадратных метра с поправкой на африканскую расу	Clearance calculation relative to 1.73 square meters body surface area and adjusted for African race
  703507004 		Расчет клиренса относительно площади поверхности тела 1,73 квадратных метра и с поправкой на неафриканскую расу (квалификационное значение)	Clearance calculation relative to 1.73 square meters body surface area and adjusted for non-African race (qualifier value)
  703689005 		Высокочувствительный метод определения С-реактивного белка	High sensitivity method for C-reactive protein
  703690001 		Подтверждающий метод (квалифицирующее значение)	Confirmatory technique (qualifier value)
  703724007 		Высокочувствительный метод определения эстрадиола (квалифицирующее значение)	High sensitivity method for estradiol (qualifier value)
  703725008 		Культура	Culture
  703750006 		Аэробная культура	Aerobic culture
  703751005 		Анаэробная культура	Anaerobic culture
  703752003 		Организм-специфическая культура	Organism specific culture
  703753008 		Обнаружение без классификации	Detecting without classifying
  703754002 		Обнаружение с помощью световой микроскопии без классификации	Detecting by light microscopy without classifying
  703856008 		Методика окраски организмов (квалифицирующее значение)	Organism staining technique (qualifier value)
  703857004 		Методика окрашивания (квалифицирующее значение)	Staining technique (qualifier value)
  703858009 		Метод числовой оценки (значение квалификатора)	Numeric estimation technique (qualifier value)
  703950001 		Высокочувствительный метод определения биодоступного тестостерона (квалифицирующее значение)	High sensitivity method for bioavailable testosterone (qualifier value)
  707682000 		Скорректированная методика измерения (квалифицирующее значение)	Adjusted measurement technique (qualifier value)
  707683005 		Скорректировано для техники диабета (квалифицирующее значение)	Adjusted for diabetes technique (qualifier value)
  707684004 		Скорректировано для техники многоплодной беременности (значение квалификатора)	Adjusted for multiple gestations technique (qualifier value)
  707685003 		Скорректировано для техники глобулина, связывающего половые гормоны (значение квалификатора)	Adjusted for sex hormone binding globulin technique (qualifier value)
  707687006 		С поправкой на технику веса (квалификационное значение)	Adjusted for weight technique (qualifier value)
  707688001 		Методика, адаптированная к фактической температуре пациента (квалифицирующее значение)	Adjusted to patients actual temperature technique (qualifier value)
  707689009 		Методика с поправкой на pH 7,4 (квалифицирующее значение)	Adjusted to pH 7.4 technique (qualifier value)
  707690000 		С поправкой на альбуминовую технику (квалифицирующее значение)	Corrected for albumin technique (qualifier value)
  707691001 		С поправкой на фоновую технику (значение квалификатора)	Corrected for background technique (qualifier value)
  707692008 		Скорректировано для техники определения глюкозы (квалифицирующее значение)	Corrected for glucose technique (qualifier value)
  707693003 		Скорректировано для техники общего белка (квалифицирующее значение)	Corrected for total protein technique (qualifier value)
  707694009 		Насыщенность скорректирована до техники 0,5 (квалифицирующее значение)	Saturation adjusted to 0.5 technique (qualifier value)
  707695005 		Стандартная техника избытка базы	Standard base excess technique
  707696006 		Стандартный избыток оснований, скорректированный с учетом метода насыщения кислородом	Standard base excess adjusted for oxygen saturation technique
  707698007 		Выход ионселективного мембранного электрода отрегулирован на pH 7,4	Ion selective membrane electrode output adjusted to pH 7.4
  707699004 		Выделение гелия за один вдох с поправкой на гемоглобин (квалифицирующее значение)	Helium single breath output adjusted for hemoglobin (qualifier value)
  707700003 		Автоматизированный вывод подсчета, скорректированный для ядросодержащих эритроцитов (значение квалификатора)	Automated count output corrected for nucleated erythrocytes (qualifier value)
