Код услуг	Наименование медицинских услуг
A02.07.010.001	Снятие оттиска с одной челюсти
A02.07.011	Аксиография верхне-нижнего челюстного сустава
A02.07.012	Функциография при патологии зубо-челюстной системы
A02.07.013	Функциональные жевательные пробы
A02.07.014	Гнатодинамометрия
A02.08.001	Осмотр верхних дыхательных путей с использованием дополнительных источников света, шпателя и зеркал
A02.08.002	Исследование дыхательной и обонятельной функции (ольфактометрия)
A02.08.003	Стоматофарингоскопия
A02.09.001	Измерение частоты дыхания
A02.09.002	Измерение окружности грудной клетки
A02.09.002.001	Определение экскурсии грудной клетки
A02.09.003	Определение поперечного диаметра грудной клетки
A02.09.004	Определение передне-заднего диаметра грудной клетки
A02.10.001	Линейные измерения сердца
A02.10.002	Измерение частоты сердцебиения
A02.12.001	Исследование пульса
A02.12.001.001	Исследование пульса методом мониторирования
A02.12.001.002	Дистанционное наблюдение за показателями частоты сердечных сокращений
A02.12.002	Измерение артериального давления на периферических артериях
A02.12.002.001	Суточное мониторирование артериального давления
A02.12.002.002	Дистанционное наблюдение за показателями артериального давления
A02.12.003	Измерение центрального венозного давления
A02.19.001	Определение резервуарной функции прямой кишки
A02.20.001	Осмотр шейки матки в зеркалах
A02.20.002	Измерение базальной температуры
A02.20.003	Исследование кристаллизации слизи шеечного канала
A02.20.004	Измерение размеров таза
A02.20.005	Измерение размеров матки
A02.20.006	Линейное измерение молочных желез
A02.24.001	Паллестезиометрия
A02.25.001	Осмотр органа слуха (отоскопия)
A02.25.001.001	Видеоотоскопия
A02.25.002	Осмотр барабанной перепонки с использованием микроскопа
A02.26.001	Исследование переднего сегмента глаза методом бокового освещения
A02.26.002	Исследование сред глаза в проходящем свете
A02.26.003	Офтальмоскопия
A02.26.004	Визометрия
A02.26.004.001	Визоконтрастометрия
A02.26.005	Периметрия статическая
A02.26.006	Кампиметрия
A02.26.007	Механофосфен
A02.26.008	Скотометрия (тест Амслера-Маринчева)
A02.26.009	Исследование цветоощущения
A02.26.010	Измерение угла косоглазия
A02.26.011	Исследование диплопии
A02.26.012	Пупилометрия
A02.26.013	Определение рефракции с помощью набора пробных линз
A02.26.014	Скиаскопия
A02.26.015	Офтальмотонометрия
A02.26.016	Кератоэстезиометрия
A02.26.017	Определение дефектов поверхности роговицы
A02.26.018	Флюоресцеиновая инстилляционная проба
A02.26.019	Канальцевая проба (носовая проба, слезно-носовая проба)
A02.26.020	Тест Ширмера
A02.26.021	Диафаноскопия глаза
A02.26.022	Экзофтальмометрия
A02.26.023	Исследование аккомодации
A02.26.024	Определение характера зрения, гетерофории
A02.26.025	Измерение диаметра роговицы
A02.26.026	Исследование конвергенции
A02.26.027	Исследование критической частоты слияния световых мельканий
A02.26.028	Исследование подвижности глаза
A02.26.029	Исследование подвижности глазного протеза
A02.28.001	Калибровка уретры
A02.30.001	Термометрия общая
A02.30.002	Аускультация плода с помощью стетоскопа
A02.30.003	Цефалометрия
A02.30.004	Исследование плаценты послеродовое
A02.30.005	Ортостатическая проба
A02.30.006	Клиностатическая проба
A02.30.007	Определение содержания угарного газа (монооксида углерода) в выдыхаемом воздухе с помощью газоанализатора
A03.01.001	Осмотр кожи под увеличением (дерматоскопия)
A03.01.001.001	Конфокальная отражательная микроскопия кожи
A03.01.002	Осмотр кожи через стекло при надавливании (витропрессия)
A03.01.003	Конфокальная лазерная сканирующая микроскопия
A03.03.001	Топография позвоночника компьютерная оптическая
A03.04.001	Артроскопия диагностическая
A03.07.001	Люминесцентная стоматоскопия
A03.07.002	Транслюминесцентная стоматоскопия
A03.07.004	Сиалометрия
A03.08.001	Ларингоскопия
A03.08.001.001	Видеоларингоскопия
A03.08.001.002	Ларингоскопия с использованием стробоскопа
A03.08.002	Фарингоскопия
A03.08.002.001	Эпифарингоскопия
A03.08.002.002	Эпифарингоскопия видеоэндоскопическая
A03.08.003	Эзофагоскопия
A03.08.003.001	Эзофагоскопия трансназальная
A03.08.004	Риноскопия
A03.08.004.001	Эндоскопическая эндоназальная ревизия полости носа, носоглотки
A03.08.004.002	Эндоскопическая эндоназальная ревизия околоносовых пазух
A03.08.004.003	Видеориноскопия
A03.08.005	Фиброларингоскопия
A03.08.005.001	Хромоларингоскопия
A03.08.005.002	Аутофлюоресцентная ларингоскопия
A03.08.005.003	Микроларингоскопия
A03.08.006	Синусоскопия
A03.08.007	Эпифаринголарингоскопия
A03.09.001	Бронхоскопия
A03.09.001.001	Бронхоскопия жестким бронхоскопом рентгенохирургическая
A03.09.001.002	Бронхоскопия аутофлюоресцентная
A03.09.001.003	Бронхоскопия с использованием ультраспектрального метода
A03.09.002	Трахеоскопия
A03.09.003	Трахеобронхоскопия
A03.09.003.001	Видеотрахеобронхоскопия
A03.10.001	Торакоскопия
A03.10.001.001	Фиброторакоскопия
A03.10.002	Кардиоскопия
A03.11.001	Медиастиноскопия
A03.13.001	Биомикроскопия сосудов
A03.13.002	Капилляроскопия
A03.14.002	Холедохоскопия
A03.15.001	Лапароскопия с осмотром поджелудочной железы
A03.16.001	Эзофагогастродуоденоскопия
A03.16.001.001	Эзофагогастродуоденоскопия с электрокоагуляцией кровоточащего сосуда
A03.16.001.002	Эзофагогастродуоденоскопия со стимуляцией желчеотделения
A03.16.001.003	Эзофагогастродуоденоскопия флюоресцентная
A03.16.001.004	Эзофагогастродуоденоскопия с введением лекарственных препаратов
A03.16.001.005	Эзофагогастродуоденоскопия трансназальная
A03.16.002	Установка назоинтестинального зонда
A03.16.003	Эзофагогастроскопия
A03.16.003.001	Эзофагогастроскопия трансназальная
A03.17.001	Эзофагогастроинтестиноскопия
A03.17.001.001	Эзофагогастроинтестиноскопия трансназальная
A03.17.002	Интестиноскопия
A03.17.002.001	Интестиноскопия двухбаллонная
A03.17.002.002	Тонкокишечная эндоскопия видеокапсульная
A03.18.001	Колоноскопия
A03.18.001.001	Видеоколоноскопия
A03.18.001.004	Эндосонография толстой кишки
A03.18.001.006	Толстокишечная эндоскопия видеокапсульная
A03.18.001.007	Колоноскопия с введением лекарственных препаратов
A03.18.002	Эндоскопическая резекция слизистой толстой кишки
A03.18.003	Эндопротезирование толстой кишки
A03.19.001	Аноскопия
A03.19.002	Ректороманоскопия
A03.19.003	Сигмоскопия
A03.19.004	Ректосигмоидоскопия
A03.19.004.001	Ректосигмоидоскопия с введением лекарственных препаратов
A03.20.001	Кольпоскопия
A03.20.002	Фертилоскопия
A03.20.003	Гистероскопия
A03.20.003.001	Гистерорезектоскопия
A03.20.003.002	Контрастная эхогистеросальпингоскопия
A03.20.003.003	Гистероскопия флюоресцентная
A03.20.004	Вагиноскопия
A03.20.005	Вульвоскопия
A03.20.006	Фаллопоскопия
A03.21.001	Диафаноскопия
A03.25.001	Вестибулометрия
A03.25.002	Проведение калорической пробы
A03.25.003	Исследование органа слуха с помощью камертона
A03.25.004	Определение проходимости евстахиевой трубы
A03.25.005	Отоэндоскопия
A03.26.001	Биомикроскопия глаза
A03.26.002	Гониоскопия
A03.26.003	Осмотр периферии глазного дна с использованием трехзеркальной линзы Гольдмана
A03.26.004	Офтальмохромоскопия
A03.26.005	Биомикрофотография глаза и его придаточного аппарата
A03.26.005.001	Биомикрофотография глазного дна с использованием фундус-камеры
A03.26.006	Флюоресцентная ангиография глаза
A03.26.007	Определение ретинальной остроты зрения
A03.26.008	Рефрактометрия
A03.26.009	Офтальмометрия
A03.26.010	Определение параметров контактной коррекции
A03.26.011	Кератопахометрия
A03.26.011.001	Ультразвуковая кератопахиметрия
A03.26.012	Исследование заднего эпителия роговицы
A03.26.014	Аномалоскопия
A03.26.015	Тонография
A03.26.016	Офтальмодинамометрия
A03.26.017	Локализация разрывов, инородных тел сетчатки
A03.26.018	Биомикроскопия глазного дна
A03.26.019	Оптическое исследование сетчатки с помощью компьютерного анализатора
A03.26.019.001	Оптическое исследование переднего отдела глаза с помощью компьютерного анализатора
A03.26.019.002	Оптическое исследование заднего отдела глаза с помощью компьютерного анализатора
A03.26.019.003	Оптическое исследование головки зрительного нерва и слоя нервных волокон с помощью компьютерного анализатора
A03.26.020	Компьютерная периметрия
A03.26.021	Определение времени разрыва слезной пленки
A03.26.022	Исследование глазного дна на аутофлюоресценцию
A03.28.001	Цистоскопия
A03.28.001.001	Цистоскопия с моделированием устья мочеточника
A03.28.001.002	Цистоскопия с рассечением устья мочеточника
A03.28.001.003	Цистоскопия фотодинамическая
A03.28.002	Уретроскопия
A03.28.003	Уретероскопия
A03.28.004	Пиелоскопия
A03.28.004.001	Чрескожная (чресфистульная) пиелоскопия
A03.28.005	Профилометрия уретры
A03.28.006	Цистоменометрия
A03.30.003	Видеоэндоскопическая колпачковая резекция слизистой желудочно-кишечного тракта
A03.30.004	Видеоэндоскопическая петлевая резекция слизистой желудочно-кишечного тракта
A03.30.005	Видеоэндоскопическое лигирование основания малигнизированного полипа
A03.30.006	Эндоскопическое исследование внутренних органов
A03.30.006.001	Узкоспектральное эндоскопическое исследование гортани, трахеи и бронхов
A03.30.006.002	Увеличительное эндоскопическое исследование слизистой органов желудочно-кишечного тракта
A03.30.006.003	Конфокальное микроэндоскопическое исследование слизистой органов желудочно-кишечного тракта
A03.30.006.004	Аутофлюоресцентное эндоскопическое исследование органов желудочно-кишечного тракта
A03.30.006.005	Конфокальное микроэндоскопическое исследование слизистой гортани, трахеи и бронхов
A03.30.006.006	Узкоспектральное NBI-исследование органов желудочно-кишечного тракта
A03.30.006.007	Эндоскопическое исследование органов желудочно-кишечного тракта в режиме интеллектуального цветового выделения (FICE)
A03.30.007	Хромоскопия, контрастное исследование органов желудочно-кишечного тракта
A03.30.008	Диагностическая лапароскопия флюоресцентная
A03.30.009	Доставка видеокапсулы в желудочно-кишечный тракт эндоскопическая
A03.30.010	Описание и интерпретация данных эндоскопических исследований с применением телемедицинских технологий
A04.01.001	Ультразвуковое исследование мягких тканей (одна анатомическая зона)
A04.01.001.001	Эластография мягких тканей
A04.01.002	Ультразвуковое исследование кожи (одна анатомическая зона)
A04.01.002.001	Эластография кожи
A04.03.001	Ультразвуковое исследование костей
A04.03.002	Ультразвуковое исследование позвоночника
A04.03.003	Ультразвуковая денситометрия
A04.04.001	Ультразвуковое исследование сустава
A04.04.001.001	Ультразвуковое исследование тазобедренного сустава
A04.04.002	Ультразвуковое исследование сухожилий
A04.06.001	Ультразвуковое исследование селезенки
A04.06.001.001	Эластография селезенки
A04.06.002	Ультразвуковое исследование лимфатических узлов (одна анатомическая зона)
A04.06.003	Ультразвуковое исследование вилочковой железы
A04.07.001	Ультразвуковая денситометрия зуба
A04.07.002	Ультразвуковое исследование слюнных желез
A04.07.003	Ультразвуковое исследование тканей полости рта
A04.07.004	Ультразвуковое исследование языка
A04.07.005	Ультразвуковая допплерография парадонта
A04.08.001	Ультразвуковое исследование околоносовых пазух
A04.08.002	Ультразвуковое исследование гортани
A04.08.003	Электроглоттография
A04.08.004	Ультразвуковое исследование миндалин
A04.08.005	Акустический анализ голоса
A04.09.001	Ультразвуковое исследование плевральной полости
A04.09.002	Ультразвуковое исследование легких
A04.09.003	Эндосонографическое исследование трахеи и бронхов
A04.10.001	Фонокардиография
A04.10.002	Эхокардиография
