CODE	UZ	RU	EN
1111.30	Konstitutsiyaviy sud raisi yordamchisi 	Помощник председателя Конституционного суда 	Assistant President of the Constitutional Court 
1111.31	Sud raisi yordamchisi	Помощник председателя суда 	Assistant Judge 
1111.32	Oʼzbekiston Respublikasi Oliy Majlisi Qonunchilik palatasi Spikerining yordamchisi 	Помощник Спикера Законодательной палаты Олий Мажлиса Республики Узбекистан 	Assistant to the Speaker of the Legislative Chamber of the Oliy Majlis of the Republic of Uzbekistan 
1111.33	Oliy sud raisi 	Председатель Верховного суда 	Chief justice 
1111.34	Sudьyalar oliy kengashi raisi 	Председатель Высшего судейского совета 	Chairman of the Supreme Judicial Council 
1111.35	Oliy iqtisodiy Sud raisi 	Председатель Высшего хозяйственного суда 	President of the Supreme Court of Economic Affairs 
1111.36	Joʼqorgʼi Kenges raisi 	Председатель Жокаргы Кенеса 	Chairman Jokargi Kenez 
1111.37	Joʼqorgʼi Kenges qoʼmitasi (komissiyasi) raisi 	Председатель комитета (комиссии) Жокаргы Кенеса 	Chairman of the committee (commission) Jokargi Kenez 
1111.38	Oliy Majlis Qonunchilik palatasining qoʼmitasi (komissiyasi) raisi 	Председатель комитета (комиссии) законодательной палаты Олий Мажлиса 	Chairman of the committee (commission) of the Legislative Chamber of the Oliy Majlis 
1111.39	Oliy Majlis Senati qoʼmitasi (komissiyasi) raisi 	Председатель комитета (комиссии) Сената Олий Мажлиса 	Chairman of the Senate Committee (Commission) 
1111.40	Konstitutsiyaviy sud raisi 	Председатель Конституционного суда 	Chairman of the Constitutional Court 
1111.41	Oliy Majlis raisi 	Председатель Олий Мажлиса 	Chairman of Oliy Majlis 
1111.42	Oliy sud doimiy sessiyasi raisi 	Председатель постоянной сессии Верховного суда 	Chairman of the permanent session of the Supreme Court 
1111.43	Prezidium raisi 	Председатель президиума 	Chairman of the Presidency 
1111.44	Oliy Majlis Senati raisi 	Председатель Сената Олий Мажлиса 	President of the Senate of Oliy Majlis 
1111.45	Sud raisi 	Председатель суда 	President of the court 
1111.46	Markaziy saylov komissiyasi raisi 	Председатель Центральной избирательной комиссии	Chairman of the Central Election Commission
1111.47	Oʼzbekiston Republikasi Prezidenti 	Президент Республики Узбекистан 	President of the Republic of Uzbekistan 
1111.48	Prokuror 	Прокурор 	Prosecutor 
1111.49	Viloyat (tuman, shahar) prokurori 	Прокурор области (района, города) 	Prosecutor of the region (district, city) 
1111.50	Prokuror-kriminalist 	Прокурор-криминалист 	Prosecutor 
1111.51	Joʼqorgʼi Kenges apparati rahbari 	Руководитель аппарата Жокаргы Кенеса 	Chief of Staff to Jokarga Kenez 
1111.52	Oʼzbekiston Respublikasi Oliy Majlisi Qonunchilik palatasi apparati rahbari 	Руководитель аппарата Законодательной палаты Олий Мажлиса Республики Узбекистан 	Chief of Staff of the Legislative Chamber of the Oliy Majlis of the Republic of Uzbekistan 
1111.53	Oʼzbekiston Respublikasi Oliy Majlisi Senati apparati rahbari 	Руководитель аппарата Сената Олий Мажлиса Республики Узбекистан 	Chief of Staff of the Senate of the Oliy Majlis of the Republic of Uzbekistan 
1111.54	Sudьyalar oliy kengashi inspektsiyasi rahbari 	Руководитель инспекции Высшего судейского совета 	Chief of the Inspectorate of the Supreme Judicial Council 
1111.55	Sudьyalar oliy kengashi kotibi 	Секретарь Высшего судейского совета 	Secretary of the Supreme Judicial Council 
1111.56	Sudьyalar oliy malaka hayʼati kotibi 	Секретарь квалификационной коллегии судей 	Secretary of the Judges' Qualification Board 
1111.57	Oliy Majlis qoʼmitasi (komissiyasi) kotibi 	Секретарь комитета (комиссии) Олий Мажлиса 	Secretary of the Committee (Commission) Oliy Majlis 
1111.58	Senator 	Сенатор 	Senator 
1111.59	Oliy Majlis Qonunchilik palatasi Spikeri 	Спикер законодательной палаты Олий Мажлиса 	Speaker of the Legislative Chamber of Oliy Majlis 
1111.60	Davlat katta ijrochisi 	Старший государственный исполнитель 	Senior Government Executive 
1111.61	Oʼzbekiston Respublikasi Oliy Majlisining Inson huquqlari boʼyicha vakili kotibiyati katta maslahatchisi 	Старший консультант Секретариата Уполномоченного Олий Мажлиса Республики Узбекистан по правам человека 	Senior consultant to the Secretariat of the Ombudsman of the Oliy Majlis of the Republic of Uzbekistan for Human Rights 
1111.62	Boʼlim katta prokurori 	Старший прокурор отдела 	Senior prosecutor of the division 
1111.63	Boshqarma katta prokurori 	Старший прокурор управления 	Senior Public Prosecutor 
1111.64	Katta prokuror-kriminalist 	Старший прокурор-криминалист 	Senior Public Prosecutor 
1111.65	Oliy Majlisi Qonunchilik palatasi apparati katta referenti 	Старший референт аппарата Законодательной палаты Олий Мажлиса 	Senior Assistant to the Legislative Chamber of the Oliy Majlis 
1111.66	Sud katta ijrochisi 	Старший судебный исполнитель 	Chief Judicial Officer 
1111.67	Oliy Sud sudьyasi 	Судья Верховного суда 	Supreme Court Judge 
1111.68	Oliy iqtisodiy Sud sudьyasi 	Судья Высшего хозяйственного суда 	Judge of the Supreme Court of Economic Affairs 
1111.69	Konstitutsiyaviy Sud sudьyasi 	Судья Конституционного суда 	Constitutional Court Judge 
1111.70	Oʼzbekiston Respublikasi Oliy Majlisining Inson huquqlari boʼyicha vakili (Ombudsman) 	Уполномоченный Олий Мажлиса Республики Узбекистан по правам человека (омбудсман) 	Commissioner for Human Rights of the Oliy Majlis (Ombudsman) 
1111.71	Oʼzbekiston Respublikasi Prezidenti huzuridagi Tadbirkorlik subʼektlarining huquqlari va qonuniy manfaatlarini himoya qilish boʼyicha vakil (Biznes-ombudsman) 	Уполномоченный при Президенте Республики Узбекистан по защите прав и законных интересов субъектов предпринимательства (Бизнес-омбудсман) 	Commissioner to the President of Uzbekistan for the protection of rights and legitimate interests of business entities (Business Ombudsman) 
1111.72	Sud aʼzosi (Konstitutsiyaviy, Oliy, Oliy xoʼjalik) 	Член суда (Конституционного, Верховного, Высшего хозяйственного) 	Member of the court (constitutional, supreme, economic) 
1112	Yuqori mansabdor shaxslar	Высшие должностные лица	Senior officials
1112.1	Аttashe 	Атташе 	Attaché 
1112.2	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi yetakchi inspektori 	Ведущий инспектор Администрации Президента Республики Узбекистан 	Chief Inspector of the Administration of the President of the Republic of Uzbekistan 
1112.3	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi Devonxonasi yetakchi inspektori 	Ведущий инспектор канцелярии Администрации Президента Республики Узбекистан 	Chief inspector of the Office of the Administration of the President of the Republic of Uzbekistan 
1112.4	Oʼzbekiston Respublikasi Prezidenti Xalq qabulxonasi yetakchi inspektori 	Ведущий инспектор Народной приемной Президента Республики Узбекистан 	Chief inspector of the People’s Reception Office of the President of the Republic of Uzbekistan 
1112.5	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi yetakchi maslahatchisi 	Ведущий консультант Администрации Президента Республики Узбекистан 	Chief Consultant to the Presidential Administration of Uzbekistan 
1112.6	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi Devonxonasi yetakchi maslahatchisi 	Ведущий консультант канцелярии Администрации Президента Республики Узбекистан 	Chief consultant of the Office of the President’s Administration of the Republic of Uzbekistan 
1112.7	Oʼzbekiston Respublikasi Oliy Majlisining inson huquqlari boʼyicha vakili (ombudsman) Kotibiyatining yetakchi maslahatchisi 	Ведущий консультант Секретариата Уполномоченного Олий Мажлиса Республики Узбекистан по правам человека (омбудсмана) 	Chief consultant of the Secretariat of the Commissioner of the Oliy Majlis of the Republic of Uzbekistan for Human Rights (Ombudsman) 
1112.8	Yetakchi mutaxassis (davlat hokimiyati va boshqaruv organlarida) 	Ведущий специалист (в органах государственной власти и управления) 	Leading specialist (in public authorities and administrations) 
1112.9	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi yetakchi mutaxassisi 	Ведущий специалист Администрации Президента Республики Узбекистан 	Chief Specialist of the Administration of the President of the Republic of Uzbekistan 
1112.10	Vazirlar Mahkamasi Ijroya apparati yetakchi mutaxassisi 	Ведущий специалист в аппарате Кабинета Министров 	Senior Specialist in the Cabinet Office 
1112.11	Vitse-konsul 	Вице-консул 	Vice Consul 
1112.12	Oʼzbekiston Respublikasi ishlari boʼyicha vaqtinchalik ishonchli vakil 	Временный поверенный в делах Республики Узбекистан 	Interim Chargé d'affaires of the Republic of Uzbekistan 
1112.13	Elchixona ikkinchi kotibi 	Второй секретарь посольства 	Second Secretary of the Embassy 
1112.14	Oʼzbekiston Respublikasining xalqaro tashkilotdagi missiya rahbari 	Глава миссии Республики Узбекистан при международной организации 	Head of the mission of the Republic of Uzbekistan to the international organization 
1112.15	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi bosh arxivchisi 	Главный архивист Администрации Президента Республики Узбекистан 	Chief archivist of the Administration of the President of the Republic of Uzbekistan 
1112.16	Davlat bosh muhandis-inspektori 	Главный государственный инженер-инспектор 	Chief State Engineer-in-Charge 
1112.17	Bosh davlat inspektori	Главный государственный инспектор 	Chief Inspector of the State 
1112.18	Tabiatni muhofaza qilish boʼyicha bosh davlat inspektori 	Главный государственный инспектор по охране природы 	Chief State Inspector for Nature Conservation 
1112.19	Baliqlarni muhofaza qilish boʼyicha bosh davlat inspektori 	Главный государственный инспектор по рыбоохране 	Chief Inspector of Fisheries 
1112.20	Davlat soliq bosh inspektori	Главный государственный налоговый инспектор 	Chief State Tax Inspector 
1112.21	Davlat soliq bosh inspektori - taftishchi	Главный государственный налоговый инспектор-ревизор 	Chief State Tax Inspector-Auditor 
1112.22	Bosh davlat ov inspektori 	Главный государственный охотничий инспектор 	Chief State Hunting Inspector 
1112.23	Bosh davlat mehnat huquq inspektori 	Главный государственный правовой инспектор труда 	Chief State Legal Inspector of Labour 
1112.24	Bosh davlat mehnat texnik inspektori 	Главный государственный технический инспектор труда 	Chief State Technical Inspector of Labour 
1112.25	Mehnat sharoitlari boʼyicha bosh davlat eksperti 	Главный государственный эксперт по условиям труда 	Chief State Expert on Working Conditions 
1112.26	Bosh surishtiruvchi 	Главный дознаватель 	Chief Investigator 
1112.27	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi bosh inspektori 	Главный инспектор Администрации Президента Республики Узбекистан 	Chief Inspector of the Administration of the President of the Republic of Uzbekistan 
1112.28	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi Devonxonasi bosh inspektori 	Главный инспектор канцелярии Администрации Президента Республики Узбекистан 	Chief inspector of the Office of the President’s Administration 
1112.29	Oʼzbekiston Respublikasi Prezidenti Xalq qabulxonasi bosh inspektori 	Главный инспектор Народной приемной Президента Республики Узбекистан 	Chief Inspector of the People’s Reception Office of the President of the Republic of Uzbekistan 
1112.30	Turizm boʼyicha bosh inspektor 	Главный инспектор по туризму 	Chief Inspector of Tourism 
1112.31	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi Moliya-xoʼjalik departamenti Bosh inspektori 	Главный инспектор Финансово-хозяйственного департамента Администрации Президента Республики Узбекистан 	Chief Inspector of the Financial and Economic Department of the Administration of the President of the Republic of Uzbekistan 
1112.32	Bosh maslahatchi 	Главный консультант 	Chief consultant 
1112.33	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi bosh maslahatchisi 	Главный консультант Администрации Президента Республики Узбекистан 	Chief Adviser to the Office of the President of the Republic of Uzbekistan 
1112.34	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi devonxonasi bosh maslahatchisi 	Главный консультант канцелярии Администрации Президента Республики Узбекистан 	Chief Adviser to the Office of the President’s Administration 
1112.35	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi Moliya-xoʼjaligi Departamenti bosh maslahatchisi 	Главный консультант Финансово-хозяйственного департамента Администрации Президента Республики Узбекистан 	Chief Adviser of the Finance and Economic Department of the Administration of the President of the Republic of Uzbekistan 
1112.36	Bosh nazoratchi-taftishchi 	Главный контролер-ревизор 	Chief Auditor 
1112.37	Bosh huquqiy inspektor 	Главный правовой инспектор 	Chief Legal Officer 
1112.38	Davlat asillik darajasini belgilash palatasining Bosh probireri 	Главный пробирер Пробирной палаты 	Main Test Chamber 
1112.39	Bosh taftishchi 	Главный ревизор 	Chief Auditor 
1112.40	Harakat xavfsizligi boʼyicha bosh taftishchi 	Главный ревизор по безопасности движения 	Chief Safety Officer 
1112.41	Bosh maslahatchi 	Главный советник 	Chief Adviser 
1112.42	Bosh mutaxassis (Vazirlar Mahkamasi ijroya apparatida) 	Главный специалист (в аппарате Кабинета Министров) 	Chief Specialist (in the Cabinet of Ministers) 
1112.43	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi Bosh mutaxassisi 	Главный специалист Администрации Президента Республики Узбекистан 	Chief Specialist of the Administration of the President of the Republic of Uzbekistan 
1112.44	Viloyat, shahar va tuman inspektsiyasida bosh mutaxassis 	Главный специалист областной, городской и районной инспекции 	Chief specialist of the regional, city and district inspection 
1112.45	Boshqarma, boʼlim bosh mutaxassisi (davlat hokimiyati va boshqaruv organlarida) 	Главный специалист отдела, управления (в органах государственной власти и управления) 	Chief specialist of the department, management (in public authorities and management) 
1112.46	Fanlar akademiyasi bosh ilmiy kotibi 	Главный ученый секретарь Академии наук 	Chief Scientific Secretary of the Academy of Sciences 
1112.47	Davlat yoʼl inspektori 	Государственный дорожный инспектор 	State Highway Inspector 
1112.48	Tabiatni muhofaza qilish davlat inspektori 	Государственный инспектор по охране природы 	State Inspector for Nature Protection 
1112.49	Davlat soliq inspektori 	Государственный налоговый инспектор 	State Tax Inspector 
1112.50	Davlat soliq inspektori-taftishchisi 	Государственный налоговый инспектор-ревизор 	State Tax Inspector-Auditor 
1112.51	Davlat ishonchli vakili 	Государственный поверенный 	Public Prosecutor 
1112.52	Davlat mehnat huquq inspektori 	Государственный правовой инспектор труда 	State Labour Law Inspector 
1112.53	Oʼzbekiston Respublikasi Prezidenti Davlat maslahatchisi 	Государственный Советник Президента Республики Узбекистан 	State Adviser to the President of the Republic of Uzbekistan 
1112.54	Davlat mehnat texnik inspektori 	Государственный технический инспектор труда 	State Technical Inspector of Labour 
1112.55	Mehnat sharoitlari boʼyicha davlat eksperti 	Государственный эксперт по условиям труда 	State expert on working conditions 
1112.56	Vakillik direktori (rahbari) 	Директор (глава) представительства 	Director (head) of the Mission 
1112.57	Departament direktori (boshligʼi) 	Директор (начальник) департамента 	Director (Chief) of the department 
1112.58	Sotuv departamenti direktori 	Директор департамента по продажам 	Director of Sales 
1112.59	Ishlab chiqarish departamenti direktori 	Директор департамента по производству 	Director of the Production Department 
1112.60	Xodimlar bilan ishlash departamenti direktori 	Директор департамента по работе с персоналом 	Director of the Personnel Department 
1112.61	Rivojlantirish ishlari departamenti direktori 	Директор департамента по развитию 	Director of the Department for Development 
1112.62	Tarqqiyot departamenti direktori 	Директор департамента развития 	Director of the Department of Development 
1112.63	Oʼzbekiston Respublikasi Prezidenti huzuridagi Strategik va mintaqalararo tadqiqotlar instituti direktori 	Директор Института стратегических и межрегиональных исследований при Президенте Республики Узбекистан 	Director of the Institute for Strategic and Interregional Studies under the President of the Republic of Uzbekistan 
1112.64	Inson huquqlari boʼyicha Milliy markaz direktori 	Директор Национального центра по правам человека 	Director of the National Centre for Human Rights 
1112.65	Birlashma (musiqiy-estrada, ishlab chiqarish) direktori 	Директор объединения (музыкально-эстрадного, производственного) 	Director of the association (musical-pop, production) 
1112.66	Davlat ulushlarini boshqarish boʼyicha ishonchli boshqaruvchi 	Доверительный управляющий по управлению государственными долями 	Trustee in Trust for the Management of Government Shares 
1112.67	Konstitutsiyaviy sud apparati mudiri 	Заведующий аппаратом Конституционного суда 	Head of the Office of the Constitutional Court 
1112.68	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi devonxona arxivi mudiri 	Заведующий архивом канцелярии Администрации Президента Республики Узбекистан 	Head of the Archives of the Office of the President’s Administration 
1112.69	Departament mudiri 	Заведующий департаментом 	Department head 
1112.70	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi Devonxona mudiri 	Заведующий канцелярией Администрации Президента Республики Узбекистан 	Head of the Office of the President’s Administration 
1112.71	Oʼzbekiston Respublikasi Prezidenti Xalq qabulxonasi mudiri 	Заведующий Народной приемной Президента Республики Узбекистан 	Head of the People’s Reception Office of the President of the Republic of Uzbekistan 
1112.72	Vazirlar Mahkamasi apparatida boʼlim mudiri 	Заведующий отделом в аппарате Кабинета Министров 	Head of the Department in the Cabinet 
1112.73	Bayonnoma boʼlimi mudiri 	Заведующий протокольным отделом 	Chief of Protocol 
1112.74	Bosh vazir oʼrinbosari kotibiyati mudiri 	Заведующий секретариатом заместителя Премьер-министра 	Head of the Deputy Prime Minister’s Secretariat 
1112.75	Bosh vazirning birinchi oʼrinbosari kotibiyati mudiri 	Заведующий секретариатом первого заместителя Премьер-министра 	Head of the Secretariat of the First Deputy Prime Minister 
1112.76	Bosh vazir kotibiyati mudiri 	Заведующий секретариатом Премьер-министра 	Chief of the Prime Minister’s Secretariat 
1112.77	Shoʼʼba mudiri 	Заведующий сектором 	Head of Sector 
1112.78	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi shoʼʼba mudiri 	Заведующий сектором Администрации Президента Республики Узбекистан 	Head of the Sector of the Administration of the President of the Republic of Uzbekistan 
1112.79	Vazirlar Mahkamasi apparatida shoʼʼba mudiri 	Заведующий сектором в аппарате Кабинета Министров 	Head of Sector in the Cabinet 
1112.80	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi Devonxonasi shoʼʼba mudiri 	Заведующий сектором канцелярии Администрации Президента Республики Узбекистан 	Head of the Office of the President’s Administration 
1112.81	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi Moliya-xoʼjalik departamenti shoʼʼba mudiri 	Заведующий сектором Финансово-хозяйственного департамента Администрации Президента Республики Узбекистан 	Head of the Finance and Economic Department of the Presidential Administration of the Republic of Uzbekistan 
1112.82	Qoraqalpogʼiston Respublikasi vaziri oʼrinbosari (birinchi oʼrinbosari) 	Заместитель (первый заместитель) министра Республики Каракалпакстан 	Deputy (first deputy) minister of the Republic of Karakalpakstan 
1112.83	Oʼzbekiston Respublikasi vaziri oʼrinbosari (birinchi oʼrinbosari) 	Заместитель (первый заместитель) министра Республики Узбекистан 	Deputy (first deputy) Minister of the Republic of Uzbekistan 
1112.84	Bosh davlat inspektori oʼrinbosari 	Заместитель главного государственного инспектора 	Deputy Chief Inspector 
1112.85	Departament direktori oʼrinbosari 	Заместитель директора департамента 	Deputy director of department 
1112.86	Oʼzbekiston Respublikasi Prezidenti huzuridagi Strategik va mintaqalararo tadqiqotlar instituti direktori oʼrinbosari	Заместитель директора Института стратегических и межрегиональных исследований при Президенте Республики Узбекистан 	Deputy Director of the Institute for Strategic and Interregional Studies under the President of the Republic of Uzbekistan 
1112.87	Departament mudiri oʼrinbosari 	Заместитель заведующего департамента 	Deputy head of department 
1112.88	Vazirlar Mahkamasi apparati boʼlim (shoʼʼba) mudiri oʼrinbosari 	Заместитель заведующего отделом (сектором) в аппарате Кабинета Министров 	Deputy Head of Department (Sector) in the Cabinet 
1112.89	Vazirlar Mahkamasi departamenti boshligʼi (mudiri) oʼrinbosari 	Заместитель начальника (заведующего) департамента Кабинета Министров 	Deputy Head (Chief) of the Department of the Cabinet of Ministers 
1112.90	Yetakchi boʼlim boshligʼi oʼrinbosari 	Заместитель начальника ведущего отдела 	Deputy Chief of Lead Division 
1112.91	Bosh boshqarma boshligʼi oʼrinbosari 	Заместитель начальника главного управления 	Deputy Chief of Staff 
1112.92	Davlat soliq inspektsiyasi boshligʼi oʼrinbosari 	Заместитель начальника государственной налоговой инспекции 	Deputy Chief of the State Tax Inspectorate 
1112.93	Davlat asillik darajasini belgilash palatasi boshligʼi oʼrinbosari 	Заместитель начальника Государственной пробирной палаты 	Deputy Head of the State Chamber of Testing 
1112.94	Davlat kuzatish xizmati boshligʼi oʼrinbosari 	Заместитель начальника государственной службы слежения 	Deputy Head of the Public Surveillance Service 
1112.95	Qurilish va texnik siyosat boʼyicha boshqarma boshligʼi oʼrinbosari 	Заместитель начальника управления по строительству и технической политики 	Deputy Chief of the Construction and Technical Policy Office 
1112.96	Davlat qoʼmitasi raisi oʼrinbosari 	Заместитель председателя государственного комитета 	Deputy chairman of the state committee 
1112.97	Saylov komissiyasi raisining oʼrinbosari	Заместитель Председателя избирательной комиссии	Deputy Chairman of the Electoral Commission
1112.98	Vazirlar Kengashi raisi oʼrinbosari 	Заместитель председателя Совета Министров 	Deputy Chairman of the Council of Ministers 
1112.99	Hisob palatasi raisi oʼrinbosari 	Заместитель председателя Счетной палаты 	Deputy President of the Court of Audit 
1112.100	Bosh vazir oʼrinbosari 	Заместитель Премьер-министра 	Deputy Prime Minister 
1112.101	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi rahbari oʼrinbosari 	Заместитель руководителя Администрации Президента Республики Узбекистан 	Deputy Head of the Presidential Administration of Uzbekistan 
1112.102	Oʼzbekiston Respublikasi Prezidenti Аdministratsiyasi departament rahbari oʼrinbosari 	Заместитель руководителя департамента Администрации Президента Республики Узбекистан 	Deputy head of the department of the Presidential Administration of the Republic of Uzbekistan 
1112.103	Matbuot xizmati rahbari oʼrinbosari 	Заместитель руководителя пресс-службы 	Deputy chief of press 
1112.104	Xavfsizlik kengashi kotibi oʼrinbosari 	Заместитель секретаря Совета безопасности 	Deputy Secretary of the Security Council 
1112.105	Oʼzbekiston Respublikasi Prezidenti maslahatchisi oʼrinbosari 	Заместитель Советника Президента Республики Узбекистан 	Deputy Adviser to the President of the Republic of Uzbekistan 
1112.106	Oʼzbekiston Respublikasi Prezidenti huzuridagi Tadbirkorlik subʼektlarining huquqlari va qonuniy manfaatlarini himoya qilish boʼyicha vakilining oʼrinbosari 	Заместитель Уполномоченного при Президенте Республики Узбекистан по защите прав и законных интересов субъектов предпринимательства 	Deputy Commissioner to the President of the Republic of Uzbekistan for the protection of rights and legitimate interests of business entities 
1112.107	Vazirlar Mahkamasi apparati boshqaruvchisi oʼrinbosari 	Заместитель управляющего аппаратом Кабинета Министров 	Deputy Cabinet Minister’s Office 
1112.108	Vazirlar Mahkamasi Ijro etuvchi apparati boshqaruvchisi oʼrinbosari 	Заместитель управляющего Исполнительного аппарата Кабинета Министров 	Deputy Executive Secretary of the Cabinet 
1112.109	Davlat nazorati inspektori 	Инспектор государственного контроля 	Inspector of State Control 
1112.110	Davlat inspektori 	Инспектор государственный 	Inspector of State 
