CODE	UZ	RU	EN
48	IRAQ	ИРАК	IRAQ
49	IRLANDIYA	ИРЛАНДИЯ	IRELAND
50	IRAN ISLAM RESPUBLIKASI	ИСЛАМСКАЯ РЕСПУБЛИКА ИРАН	ISLAMIC REPUBLIC OF IRAN
51	MAVRITANIYA	МАВРИТАНИЯ	MAURITANIA
52	PAKISTAN	ПАКИСТАН	PAKISTAN
53	AWG‘ANISTAN	АФГАНИСТАН	AFGHANISTAN
54	ITALIYA	ИТАЛИЯ	ITALY
55	KANADA	КАНАДА	CANADA
56	XITAY	КИТАЙ	CHINA
57	ANDORRA	АНДОРРА	ANDORRA
58	LIXTENSHTEYN	ЛИХТЕНШТЕЙН	LIECHTENSTEIN
59	MONAKO	МОНАКО	MONACO
60	KOKOS ATAWLARI	КОКОСОВЫЕ ОСТРОВА	COCOS ISLANDS
61	GAYANA	ГАЙАНА	GUYANA
62	KOREYS XALQ DEMOKRATIK RESPUBLIKASI	КОРЕЙСКАЯ НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА	KOREAN DEMOCRATIC PEOPLES REPUBLIC
63	BELGIYA	БЕЛЬГИЯ	BELGIUM
64	BUTAN	БУТАН	BHUTAN
65	DANIYA	ДАНИЯ	DENMARK
66	ISPANIYA	ИСПАНИЯ	SPAIN
67	LESOTO	ЛЕСОТО	LESOTHO
68	MAROKKO	МАРОККО	MAROCCO
69	NEPAL	НЕПАЛ	NEPAL
70	NIDERLAND	НИДЕРЛАНДЫ	NETHERLANDS
71	NORVEGIYA	НОРВЕГИЯ	NORWAY
72	SAUDIYA ARABISTANI	САУДОВСКАЯ АРАВИЯ	SAUDI ARABIA
73	SHA‘MZILEND	СВАЗИЛЕНД	SWAZILAND
74	TAILAND	ТАИЛАНД	THAILAND
75	TONGA	ТОНГА	TONGA
76	SHVETSIYA	ШВЕЦИЯ	SWEDEN
77	LAOS XALQ DEMOKRATIK RESPUBLIKASI	ЛАОССКАЯ НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА	LAO PEOPLES DEMOCRATIC REPUBLIC
78	LATVIYA	ЛАТВИЯ	LATVIA
79	LIVAN	ЛИВАН	LEBANON
80	LITVA	ЛИТВА	LITHUANIA
81	MAVRIKIY	МАВРИКИЙ	MAURITIUS
82	MAKAO	МАКАО	MAKAO
83	MAKEDONIYA	МАКЕДОНИЯ	MACEDONIA
84	MALAYZIYA	МАЛАЙЗИЯ	MALAYSIA
86	MALDIVI	МАЛЬДИВЫ	MALDIVES
87	MARTINIKA	МАРТИНИКА	MARTINIQUE
88	MARSHAL ATAWLARI	МАРШАЛЛОВЫ ОСТРОВА	MARSHALL ISLANDS
89	MEKSIKA	МЕКСИКА	MEXICO
90	MANG‘OLISTAN	МОНГОЛИЯ	MONGOLIA
91	MONTSERRAT	МОНТСЕРРАТ	MONTSERRAT
92	NAMIBIYA	НАМИБИЯ	NAMIBIA
93	ANGOLA XALQ RESPUBLIKASI	НАРОДНАЯ РЕСПУБЛИКА АНГОЛА	PEOPLES REPUBLIC ANGOLA
94	BANGLADESH	БАНГЛАДЕШ	BANGLADESH
95	BENIN	БЕНИН	BENIN
96	VETNAM	ВЬЕТНАМ	VIETNAM
97	KONGO	КОНГО	CONGO
98	MOZAMBIK	МОЗАМБИК	MOZAMBIQUE
99	NIDERLAND ANTIL ATAWLARI	НИДЕРЛАНДСКИЕ АНТИЛЬСКИЕ ОСТРОВА	NETHERLAND ANTILLES
100	NIUE	НИУЭ	NIUE
101	JAN‘A ZELANDIYA	НОВАЯ ЗЕЛАНДИЯ	NEW ZEALAND
102	JAN‘A KALEDONIYA	НОВАЯ КАЛЕДОНИЯ	NEW CALEDONIA
103	NORFOLK ATAWI	ОСТРОВ НОРФОЛК	NORFOLK ISLAND
104	TANZANIYA BIRLESGEN RESPUBLIKASI	ОБЪЕДИНЕННАЯ РЕСПУБЛИКА ТАНЗАНИЯ	UNITED REPUBLIC OF TANZANIA
105	BIRLESGEN ARAB AMIRLIKLERI	ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ	UNITED ARAB EMIRATES
106	ARUBA	АРУБА	ARUBA
107	BUVE ATAWI	ОСТРОВ БУВЕ	ISLAND BUVE
109	MEN ATAWI	ОСТРОВ МЭН	ISLE OF MAN
111	MUQA‘DDES ELENA ATAWI	ОСТРОВ СВЯТОЙ ЕЛЕНЫ	SAINT HELENA ISLAND
113	KAYMAN ATAWLARI	КАЙМАНОВЫ ОСТРОВА	CAYMAN ISLAND
114	KUKA ATAWLARI	ОСТРОВА КУКА	COOK ISLANDS
115	UOLLIS HA‘M FUTUNA ATAWLARI	ОСТРОВА УОЛЛИС И ФУТУНА	WALLIS AND FUTUNA ISLAND
117	PAPUA-JAN‘A GVINEYA	ПАПУА-НОВАЯ ГВИНЕЯ	PAPUA NEW GUINEA
118	PITKERN	ПИТКЭРН	PITCAIRN
119	PORTUGALIYA	ПОРТУГАЛИЯ	PORTUGAL
120	PUERTO-RIKO	ПУЭРТО-РИКО	PUERTO RICO
121	ALBANIYA	АЛБАНИЯ	ALBANIA
122	ARMENISTAN	АРМЕНИЯ	ARMENIA
123	BELORUS	БЕЛАРУСЬ	BELARUS
124	BOLGARIYA	БОЛГАРИЯ	BULGARIA
125	BOLIVIYA	БОЛИВИЯ	BOLIVIA
126	BOTSVANA	БОТСВАНА	BOTSWANA
127	BURUNDI	БУРУНДИ	BURUNDI
128	HA‘MNUATU	ВАНУАТУ	VANUATU
129	VENESUELA	ВЕНЕСУЭЛА	VENEZUELA
130	GAITI	ГАИТИ	HAITI
131	GAMBIYA	ГАМБИЯ	GAMBIA
132	GANA	ГАНА	GHANA
133	GVATEMALA	ГВАТЕМАЛА	GUATEMALA
134	GVINEYA-BISAU	ГВИНЕЯ-БИСАУ	GUINEA-BISSAU
135	GONDURAS	ГОНДУРАС	HONDURAS
136	GRUZIYA	ГРУЗИЯ	GEORGIA
137	DJIBUTI	ДЖИБУТИ	DJIBOUTI
138	ZOIR RESPUBLIKASI	РЕСПУБЛИКА ЗАИР	REPUBLIC OF ZAIR
139	ZAMBIYA	ЗАМБИЯ	ZAMBIA
140	ZIMBABVE	ЗИМБАБВЕ	ZIMBABWE
141	HINDISTAN	ИНДИЯ	INDIA
142	INDONEZIYA	ИНДОНЕЗИЯ	INDONESIA
143	ISLANDIYA	ИСЛАНДИЯ	ICELAND
144	IYEMEN	ЙЕМЕН	YEMEN
145	KABO-VERDE	КАБО-ВЕРДЕ	CAPE VERDE
146	QAZAG‘ISTAN	КАЗАХСТАН	KAZAKHSTAN
147	KAMERUN	КАМЕРУН	CAMEROON
148	KENIYA	КЕНИЯ	KENYA
149	KIPR	КИПР	CYPRUS
150	KIRIBATI	КИРИБАТИ	KIRIBATI
151	KOLUMBIYA	КОЛУМБИЯ	COLUMBIA
152	KOREYA RESPUBLIKASI	РЕСПУБЛИКА КОРЕЯ	REPUBLIC OF KOREA
153	KOSTA-RIKA	КОСТА-РИКА	COSTA RICA
154	KOT-D`IVUAR	КОТ-Д`ИВУАР	COTE DIVOIRE
155	KUBA	КУБА	CUBA
156	QIRG‘IZISTAN RESPUBLIKASI	РЕСПУБЛИКА КЫРГЫЗСТАН	QIRG‘IZISTON RESPUBLIKASI
157	LIBERIYA	ЛИБЕРИЯ	LIBERIA
158	MALAVI	МАЛАВИ	MALAWI
159	MALI	МАЛИ	MALI
160	MALTA	МАЛЬТА	MALTA
161	MOLDOVA RESPUBLIKASI	РЕСПУБЛИКА МОЛДОВА	REPUBLIC OF MOLDOVA
162	NAURU	НАУРУ	NAURU
163	NIGER	НИГЕР	NIGER
164	NIKARAGUA	НИКАРАГУА	NICARAGUA
165	PALAU	ПАЛАУ	PALAU
166	PANAMA	ПАНАМА	PANAMA
167	PARAGHA‘MY	ПАРАГВАЙ	PARAGUAY
168	PERU	ПЕРУ	PERU
169	POLSHA	ПОЛЬША	POLAND
170	RUMINIYA	РУМЫНИЯ	RUMANIA
171	SAN-MARINO	САН-МАРИНО	SAN MARINO
172	SEYSHEL ATAWLARI	СЕЙШЕЛЬСКИЕ ОСТРОВА	SEYCHELLES
173	SENEGAL	СЕНЕГАЛ	SENEGAL
174	SINGAPUR	СИНГАПУР	SINGAPORE
175	SLOVENIYA	СЛОВЕНИЯ	SLOVENIA
176	SUDAN	СУДАН	SUDAN
177	SURINAM	СУРИНАМ	SURINAM
178	SERRA-LEONE	СЬЕРРА-ЛЕОНЕ	SIERRA LEONE
179	TAJIKISTAN	ТАДЖИКИСТАН	TAJIKISTAN
180	TRINIDAD HA‘M TOBAGO	ТРИНИДАД И ТОБАГО	TRINIDAD AND TOBAGO
181	UGANDA	УГАНДА	UGANDA
182	O‘ZBEKISTAN	УЗБЕКИСТАН	UZBEKISTAN
183	FIDJI	ФИДЖИ	FIJI
184	FILIPPIN	ФИЛИППИНЫ	PHILIPPINES
187	CHILI	ЧИЛИ	CHILE
188	EKVADOR	ЭКВАДОР	ECUADOR
189	GVINEYA EKVATORIAL RESPUBLIKASI	РЕСПУБЛИКА ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ	REPUBLIC OF EQUATORIAL GUINEA
191	REYUNON	РЕЮНЬОН	REUNION
192	ROSSIYA FEDERATSIYASI	РОССИЙСКАЯ ФЕДЕРАЦИЯ	RUSSIAN FEDERATION
193	RUANDA	РУАНДА	RUANDA
194	SAMOA	САМОА	SAMOA
195	SENT-VINSENT HA‘M GRENADINLAR	СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ	SAINT VINCENT AND GRENADINES
196	SENT-PER HA‘M MIKELON	СЕНТ-ПЬЕР И МИКЕЛОН	SAINT PIERRE AND MIQUELON
197	SENT-LYUSIYA	СЕНТ-ЛЮСИЯ	SAINT LUCIA
198	SIRIYA ARAB RESPUBLIKASI	СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА	SYRIAN ARAB REPUBLIC
199	SLOHA‘MKIYA	СЛОВАКИЯ	SLOVAKIA
200	BAGAM ATAWLARI	БАГАМСКИЕ ОСТРОВА	BAHAMAS
201	DOMINIKA	ДОМИНИКА	DOMINICA
202	ARQA MARIAN ATAWLARI	СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА	NORTHERN MARIANA ISLANDS
204	AMERIKA QOSPA SHTATLARI	СОЕДИНЁННЫЕ ШТАТЫ АМЕРИКИ	UNITED STATES OF AMERICA
205	SOLOMONOV ATAWLARI	СОЛОМОНОВЫ ОСТРОВА	SOLOMON ISLANDS
206	SOMALI	СОМАЛИ	SOMALIA
207	LIVIYA ARAB JAMAXIRIYASI	ЛИВИЙСКАЯ АРАБСКАЯ ДЖАМАХИРИЯ	LIBYAN ARAB JAMAHIRIYA
208	MYANMA	МЬЯНМА	MYANMAR
209	YUGOSLAVIYA	ЮГОСЛАВИЯ	YUGOSLAVIA
210	OMAN	ОМАН	OMAN
211	TAYHA‘MN	ТАЙВАНЬ	TAIWAN
212	TERKS HA‘M KAYKOS ATAWLARI	ОСТРОВА ТЕРКС И КАЙКОС	TERKS AND KAYKOS ISLAND
213	TOGO	ТОГО	TOGO
214	TOKELAU	ТОКЕЛАУ	TOKELAU
215	TUHA‘MLU	ТУВАЛУ	TUVALU
216	TUNIS	ТУНИС	TUNISIA
217	TURKIYA	ТУРЦИЯ	TURKEY
218	TURKMENISTAN	ТУРКМЕНИСТАН	TURKMENISTAN
219	UKRAINA	УКРАИНА	UKRAINE
220	FARER ATAWLARI	ФАРЕРСКИЕ ОСТРОВА	FAEROE ISLAND
221	KOMOR ATAWLARI	КОМОРСКИЕ ОСТРОВА	COMOROS ISLAND
222	BRAZILIYA	БРАЗИЛИЯ	BRAZIL
223	NIGERIYA	НИГЕРИЯ	NIGERIA
224	MIKRONEZIYA FEDERATIV SHTATLARI	МИКРОНЕЗИЯ, ФЕДЕРАТИВНЫЕ ШТАТЫ	MICRONESIA, FEDERATIVE STATES
225	SENT-KITS HA‘M NEVIS	СЕНТ-КИТС И НЕВИС	SAINT KITTS AND NEVIS
226	FINLYANDIYA	ФИНЛЯНДИЯ	FINLAND
227	FOLKLEND ATAWLARI	ФОЛКЛЕНДСКИЕ ОСТРОВА	FALKLAND ISLANDS
228	FRANSIYA POLINEZIYASI	ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ	FRENCH POLYNESIA
229	FRANSIYA	ФРАНЦИЯ	FRANCE
231	ORAYLIQ AFRIKA RESPUBLIKASI	ЦЕНТРАЛЬНОАФРИКАНСКАЯ РЕСПУБЛИКА	CENTRAL AFRICAN REPUBLIC
234	SHVEYSARIYA	ШВЕЙЦАРИЯ	SWITZERLAND
235	SHPITSBERGEN HA‘M YAN-MAYEN ATAWLARI	ОСТРОВА ШПИЦБЕРГЕН И ЯН-МАЙЕН	SPITSBERGEN AND JAN MAYEN ISLANDS
236	ERITREYA	ЭРИТРЕЯ	ERITREA
237	ESTONIYA	ЭСТОНИЯ	ESTONIA
238	EFIOPIYA	ЭФИОПИЯ	ETHIOPIA
239	YAMAYKA	ЯМАЙКА	JAMAICA
240	YAPONIYA	ЯПОНИЯ	JAPAN
242	QIRG‘IZSTAN	КЫРГЫЗСТАН	KYRGYZSTAN
254	AVSTRALIYA	АВСТРАЛИЯ	AUSTRALIA
255	ANGILYA	АНГИЛЬЯ	ANGUILLA
256	NEYTRALNAYA ZONA	НЕЙТРАЛЬНАЯ ЗОНА	NEUTRAL ZONE
257	SALVADOR	САЛЬВАДОР	SALVADOR
263	FRANSIYA GVIANASI	ФРАНЦУЗСКАЯ ГВИАНА	FRENCH GUIANA
272	PUQARALIG‘I BOLMAG‘AN SHAXS	ЛИЦО БЕЗ ГРАЖДАНСТВА	STATELESS PERSON
273	CHEXIYA RESPUBLIKASI	ЧЕШСКАЯ РЕСПУБЛИКА	CZECH REPUBLIC
276	MAYOTTA	МАЙОТТА	MAYOTTE
277	PALESTINA	ПАЛЕСТИНА	PALESTINA
284	QUBLA AFRIKA RESPUBLIKASI	ЮЖНО-АФРИКАНСКАЯ РЕСПУБЛИКА	SOUTH AFRICA
285	XARHA‘MTIYA	ХОРВАТИЯ	XARVATIYA
500	KONGO DEMOKRATIK RESPUBLIKASI	КОНГО ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА	CONGO DEMOCRATIC REPUBLIC
501	ULLI BRITANIYA	ВЕЛИКОБРИТАНИЯ	GREAT BRITAIN
502	XERD HA‘M MAKDONALD ATAWLARI	ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД	HERD ISLAND AND MCDONALD ISLANDS
504	SERBIYA HA‘M CHERNOGORIYA	СЕРБИЯ И ЧЕРНОГОРИЯ	SERBY AND MONTENEGRO
505	CHAD	ЧАД	CHAD
739001135	ABHAZIYA	АБХАЗИЯ	ABHAZIYA
739001136	КАБО ВЕРДЕ РЕСПУБЛИКА	КАБО ВЕРДЕ РЕСПУБЛИКА	КАБО ВЕРДЕ РЕСПУБЛИКА
739001137	НАРОДНО ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА КОРЕЯ	НАРОДНО ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА КОРЕЯ	DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA
stateless	Fuqaroliksiz	Без гражданства	Stateless
